Area,1996,2001,2006,2013,2018,2019,2020,2021,2022
100100 North Cape,1329,1329,1329,1329,1329,1329,1329,1329,1329
100200 Rangaunu Harbour,1264,1264,1264,1264,1264,1264,1264,1264,1264
100300 Inlets Far North district,0,0,0,0,0,0,0,0,0
100400 Karikari Peninsula,1507,1507,1507,1507,1507,1507,1507,1507,1507
100500 Tangonge,1670,1670,1670,1670,1670,1670,1670,1670,1670
100600 Ahipara,1271,1271,1271,1271,1271,1271,1271,1271,1271
100700 Kaitaia East,832,832,832,832,832,832,832,832,832
100800 Kaitaia West,1528,1528,1528,1528,1528,1528,1528,1528,1528
100900 Rangitihi,1771,1771,1771,1771,1771,1771,1771,1771,1771
101000 Oruru-Parapara,1749,1749,1749,1749,1749,1749,1749,1749,1749
101100 Taumarumaru,1695,1695,1695,1695,1695,1695,1695,1695,1695
101200 Herekino-Takahue,1737,1737,1737,1737,1737,1737,1737,1737,1737
101300 Peria,1763,1763,1763,1763,1763,1763,1763,1763,1763
101400 Taemaro-Oruaiti,1713,1713,1713,1713,1713,1713,1713,1713,1713
101500 Whakapaku,1768,1768,1768,1768,1768,1768,1768,1768,1768
101600 Hokianga North,1642,1642,1642,1642,1642,1642,1642,1642,1642
101700 Kohukohu-Broadwood,1975,1975,1975,1975,1975,1975,1975,1975,1975
101800 Whakarara,1460,1460,1460,1460,1460,1460,1460,1460,1460
101900 Kaeo,1664,1664,1664,1664,1664,1664,1664,1664,1664
102000 Omahuta Forest-Horeke,1820,1820,1820,1820,1820,1820,1820,1820,1820
102100 Hokianga South,1934,1934,1934,1934,1934,1934,1934,1934,1934
102200 Lake Manuwai-Kapiro,1745,1745,1745,1745,1745,1745,1745,1745,1745
102300 Okaihau,1678,1678,1678,1678,1678,1678,1678,1678,1678
102400 Rangitane-Purerua,1726,1726,1726,1726,1726,1726,1726,1726,1726
102500 Waipapa,1715,1715,1715,1715,1715,1715,1715,1715,1715
102600 Puketotara,1718,1718,1718,1718,1718,1718,1718,1718,1718
102700 Waima Forest,1839,1839,1839,1839,1839,1839,1839,1839,1839
102800 Riverview,1348,1348,1348,1348,1348,1348,1348,1348,1348
102900 Waipoua Forest,1616,1616,1616,1616,1616,1616,1616,1616,1616
103000 Kerikeri Central,1724,1724,1724,1724,1724,1724,1724,1724,1724
103100 Kerikeri South,1712,1712,1712,1712,1712,1712,1712,1712,1712
103200 Ohaeawai-Waimate North,1692,1692,1692,1692,1692,1692,1692,1692,1692
103300 Puketona-Waitangi,1869,1869,1869,1869,1869,1869,1869,1869,1869
103400 Ngapuhi,1232,1232,1232,1232,1232,1232,1232,1232,1232
103500 Kaikohe,1119,1119,1119,1119,1119,1119,1119,1119,1119
103600 Pakaraka,2109,2109,2109,2109,2109,2109,2109,2109,2109
103700 Haruru,1911,1911,1911,1911,1911,1911,1911,1911,1911
103800 Russell,1805,1805,1805,1805,1805,1805,1805,1805,1805
103900 Paihia,1667,1667,1667,1667,1667,1667,1667,1667,1667
104000 Mataraua Forest,1837,1837,1837,1837,1837,1837,1837,1837,1837
104100 Matawaia-Taumarere,2095,2095,2095,2095,2095,2095,2095,2095,2095
104200 Russell Peninsula,1899,1899,1899,1899,1899,1899,1899,1899,1899
104300 Opua (Far North district),2094,2094,2094,2094,2094,2094,2094,2094,2094
104400 Russell Forest-Rawhiti,1750,1750,1750,1750,1750,1750,1750,1750,1750
104500 Moerewa,2131,2131,2131,2131,2131,2131,2131,2131,2131
104600 Kawakawa,2128,2128,2128,2128,2128,2128,2128,2128,2128
104700 Maromaku,2088,2088,2088,2088,2088,2088,2088,2088,2088
104800 Mangakahia-Hukerenui,2089,2089,2089,2089,2089,2089,2089,2089,2089
104900 Whangaruru,1652,1652,1652,1652,1652,1652,1652,1652,1652
105000 Inlets other Whangarei district,0,0,0,0,0,0,0,0,0
105100 Matarau,1798,1798,1798,1798,1798,1798,1798,1798,1798
105200 Hikurangi,1511,1511,1511,1511,1511,1511,1511,1511,1511
105300 Kauri,1789,1789,1789,1789,1789,1789,1789,1789,1789
105400 Maungatapere,1872,1872,1872,1872,1872,1872,1872,1872,1872
105500 Kamo West,1754,1754,1754,1754,1754,1754,1754,1754,1754
105600 Matapouri-Tutukaka,1690,1690,1690,1690,1690,1690,1690,1690,1690
105700 Kiripaka,1784,1784,1784,1784,1784,1784,1784,1784,1784
105800 Kamo East,1693,1693,1693,1693,1693,1693,1693,1693,1693
105900 Granfield Reserve,1767,1767,1767,1767,1767,1767,1767,1767,1767
106000 Kamo Central,1756,1756,1756,1756,1756,1756,1756,1756,1756
106100 Whau Valley,1752,1752,1752,1752,1752,1752,1752,1752,1752
106200 Tikipunga North,1738,1738,1738,1738,1738,1738,1738,1738,1738
106300 Pukenui,1812,1812,1812,1812,1812,1812,1812,1812,1812
106400 Otangarei,1757,1757,1757,1757,1757,1757,1757,1757,1757
106500 Tikipunga South,1739,1739,1739,1739,1739,1739,1739,1739,1739
106600 Kensington (Whangarei district),1751,1751,1751,1751,1751,1751,1751,1751,1751
106700 Abbey Caves-Glenbervie,1786,1786,1786,1786,1786,1786,1786,1786,1786
106800 Mairtown,1736,1736,1736,1736,1736,1736,1736,1736,1736
106900 Maunu-Horahora,1782,1782,1782,1782,1782,1782,1782,1782,1782
107000 Woodhill-Vinetown,1546,1546,1546,1546,1546,1546,1546,1546,1546
107100 Whangarei Central,527,527,527,527,527,527,527,527,527
107200 Riverside,1774,1774,1774,1774,1774,1774,1774,1774,1774
107300 Raumanga,1656,1656,1656,1656,1656,1656,1656,1656,1656
107400 Tarewa,1740,1740,1740,1740,1740,1740,1740,1740,1740
107500 Morningside (Whangarei district),1788,1788,1788,1788,1788,1788,1788,1788,1788
107600 Ngunguru,748,748,748,748,748,748,748,748,748
107700 Otaika-Portland,1621,1621,1621,1621,1621,1621,1621,1621,1621
107800 Oakleigh-Mangapai,1909,1909,1909,1909,1909,1909,1909,1909,1909
107900 Port-Limeburners,448,448,448,448,448,448,448,448,448
108000 Pataua,1719,1719,1719,1719,1719,1719,1719,1719,1719
108100 Onerahi Park,1356,1356,1356,1356,1356,1356,1356,1356,1356
108200 Sherwood Rise,1433,1433,1433,1433,1433,1433,1433,1433,1433
108300 Onerahi,1393,1393,1393,1393,1393,1393,1393,1393,1393
108400 Inlet Whangarei Harbour,0,0,0,0,0,0,0,0,0
108500 Parua Bay,1818,1818,1818,1818,1818,1818,1818,1818,1818
108600 Bream Bay,1691,1691,1691,1691,1691,1691,1691,1691,1691
108700 Marsden Bay,1195,1195,1195,1195,1195,1195,1195,1195,1195
108800 Ruakaka,1084,1084,1084,1084,1084,1084,1084,1084,1084
108900 Bream Head,1617,1617,1617,1617,1617,1617,1617,1617,1617
109001 Waipu,1451,1451,1451,1451,1451,1451,1451,1451,1451
109002 Waipu Rural,1760,1760,1760,1760,1760,1760,1760,1760,1760
109100 Kaipara Coastal,1722,1722,1722,1722,1722,1722,1722,1722,1722
109200 Maungaru,1831,1831,1831,1831,1831,1831,1831,1831,1831
109300 Dargaville,1822,1822,1822,1822,1822,1822,1822,1822,1822
109400 Ruawai-Matakohe,1674,1674,1674,1674,1674,1674,1674,1674,1674
109500 Otamatea (Kaipara district),1825,1825,1825,1825,1825,1825,1825,1825,1825
109600 Maungaturoto,1864,1864,1864,1864,1864,1864,1864,1864,1864
109700 Kaiwaka,1915,1915,1915,1915,1915,1915,1915,1915,1915
109800 Mangawhai Rural,1963,1963,1963,1963,1963,1963,1963,1963,1963
109900 Mangawhai Heads,1607,1607,1607,1607,1607,1607,1607,1607,1607
110000 Inlet Mangawhai Harbour,0,0,0,0,0,0,0,0,0
110100 Mangawhai,703,703,703,703,703,703,703,703,703
258200 Oceanic Northland region,0,0,0,0,0,0,0,0,0
258300 Inlet Doubtless Bay,0,0,0,0,0,0,0,0,0
258400 Inlet Kaipara Harbour North,0,0,0,0,0,0,0,0,0
110200 Okahukura Peninsula,1980,1980,1980,1980,1980,1980,1980,1980,1980
